VTD,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B17017e1,B17021e1,B19301e1,C17002e1,VTD.1,ID
42001430READING TWP VTD 01,3000.62820996,2912.72310023,0.213953488372,0.0,0.0744186046512,0.0,87.6911562398,3000.62820996,3000.62820996,1141.42712086,3000.62820996,52846.0105224,3000.62820996,42001430READING TWP VTD 01,24
42001270HAMILTONBAN TWP,2965.0,2800.0,91.0,19.0,46.0,9.0,26.0,2965.0,2965.0,1201.0,2943.0,49072.0,2943.0,42001270HAMILTONBAN TWP,25
4200120ARENDTSVILLE,894.519918284,743.319713994,0.0,0.0,4.87742594484,0.0,146.322778345,894.519918284,894.519918284,326.787538304,891.593462717,26233.7231869,891.593462717,4200120ARENDTSVILLE,27
42001370MENALLEN TWP,3939.32572614,3616.24204703,52.0,0.0,12.0836791148,0.0,259.0,3939.32572614,3939.32572614,1442.08506224,3920.32572614,45366.0636238,3920.32572614,42001370MENALLEN TWP,28
42001320LIBERTY TWP,1429.54056628,1395.9023242,10.9212066985,11.2908796546,8.21154883972,0.0,13.0215861197,1429.54056628,1429.54056628,493.529710071,1419.80068898,18202.0950662,1419.80068898,42001320LIBERTY TWP,29
42001330LITTLESTOWN WD 01,2413.34191487,2324.913159,41.5772600163,33.63061311,24.9751759911,0.0,7.68587896254,2413.34191487,2413.34191487,947.956548748,2405.21423027,25124.3803742,2405.21423027,42001330LITTLESTOWN WD 01,30
42001200GERMANY TWP,2653.0,2631.0,0.0,0.0,22.0,0.0,0.0,2653.0,2653.0,968.0,2653.0,27962.0,2653.0,42001200GERMANY TWP,31
42001380MT. JOY TWP VTD 01,1965.0,1915.0,8.0,0.0,50.0,0.0,0.0,1965.0,1965.0,763.0,1950.0,31031.0,1950.0,42001380MT. JOY TWP VTD 01,32
42001390MT. PLEASANT TWP VTD 01,4470.05029132,4327.09337522,42.0,47.4346182918,52.9206349206,0.0,72.0362811791,4470.05029132,4470.05029132,1692.16309988,4459.52799351,46778.3069267,4459.52799351,42001390MT. PLEASANT TWP VTD 01,33
4200180CARROLL VALLEY,1720.67354414,1684.2565715,14.7576276574,10.7091203454,7.78845116028,0.0,13.3658371932,1720.67354414,1720.67354414,593.758019991,1703.31403494,20767.5264062,1703.31403494,4200180CARROLL VALLEY,34
42001460TYRONE TWP,2318.91470844,2250.12489121,45.8598781549,32.8994778068,0.0,0.0,43.8659704091,2318.91470844,2318.91470844,859.374238468,2282.02741514,25482.1409922,2282.02741514,42001460TYRONE TWP,35
42001290HUNTINGTON TWP VTD 01,2470.78610355,2172.41633303,44.5311274666,37.8328769715,7.39850093691,0.0,287.935716037,2470.78610355,2470.78610355,926.698528552,2447.73804394,15849.9833051,2447.73804394,42001290HUNTINGTON TWP VTD 01,36
